michael (8:18:15 PM):  Hello
amy (9:43:28 PM):  the weird thing is happening again
meg (9:43:34 PM):  what?
michael (9:43:46 PM):  Screen flicker?
amy (9:43:52 PM):  things people said a while ago reappeared on my screen
meg (9:43:53 PM):  is yours jumping everytime someone talks back to something that was already said
meg (9:43:55 PM):  me too
amy (9:44:03 PM):  yes
george (9:44:30 PM):  hmm
meg (9:44:38 PM):  What do you guys think though- between the fit and the accent?
meg (9:44:41 PM):  I like them both
michael (9:44:41 PM):  Oh, yeah I see it too....looks kind of like it refills the entire window with the whole conversation each time.
george (9:44:44 PM):  working the same for me
michael (9:44:52 PM):  So a long conversation takes a long time to fill the window.
george (9:45:00 PM):  i haven't tried the fit but accent has been very reliable so far for me
meg (9:45:01 PM):  yeah
meg (9:45:04 PM):  exactly
meg (9:45:10 PM):  What yr?
george (9:45:22 PM):  i'd love to test drive the fit actually
meg (9:46:04 PM):  its a nice car
amy (9:46:17 PM):  meg def go test drive the ones in your price range and just make comparisons.  you'll figure it all out  : )
meg (9:46:18 PM):  and even thuogh its small there's more room inside than you think there will be
meg (9:47:09 PM):  I will
meg (9:47:17 PM):  lol as long as i leave my road rage at home
amy (9:47:21 PM):  link  i liked this site when i was looking
amy (9:47:45 PM):  read the customer reviews
meg (9:47:58 PM):  i will
michael (9:48:34 PM):  Wow, here's an odd comment....automakers trying to raise prices: "promotional strategies, including rebates, employee pricing and 0% financing, have boosted sales but have also cut into profits. More importantly such promotions drain the automaker's cash reserves in the near term while in the long run the company suffers the stigma of selling vehicles because of low price instead of technical merit. Automakers have since been trying to scale back on incentives and raise prices, while cutting production."
meg (9:48:56 PM):  thats bad
michael (9:48:57 PM):  We started off talking about them lowering prices, I think.
meg (9:49:10 PM):  i mean, if they want people to buy its a good strategy
meg (9:49:19 PM):  but thats just a vicious cycle
meg (9:49:36 PM):  lowering prices to get people to buy and end up in bankruptcies
meg (9:50:07 PM):  Alright eveyone
michael (9:50:09 PM):  And getting known for selling cheap products instead of quality ones, heh. Never thought of that.
meg (9:50:12 PM):  looks like its time to go
george (9:50:41 PM):  yup, good talking with you
amy (9:50:47 PM):  thanks for sharing the quotes michael-  it helped
michael (9:50:48 PM):  Ay, yep. Good night everyone.
george (9:50:49 PM):  night guys!
meg (9:50:52 PM):  You too:D see you next time
amy (9:51:01 PM):  night everyone-  enjoy your friday
michael (9:51:19 PM):  Too bad we didn't have an economics major in the house.
