george (8:07:59 PM):  <--
george (9:53:49 PM):  what do you call the people who give brazilian waxes?
vincent (9:53:50 PM):  nice, rachael.  I heard about a barber that shaves legs.
george (9:54:05 PM):  lol
vincent (9:54:07 PM):  waxer, or like, is there a name for a spa worker?
george (9:54:24 PM):  yea spa something i bet
rachael (9:54:24 PM):  michelle, could you restore some dignity to this conversation?
vincent (9:54:42 PM):  yes, do.
michelle (9:54:57 PM):  hehehe
george (9:55:26 PM):  i think michelle is endorsing the topic with her laughter
michelle (9:55:30 PM):  maybe next time. we are almost done
vincent (9:55:32 PM):  I was hoping michelle would just slam down something totally juvenile right then.
rachael (9:55:44 PM):  Back to Planet Xargon.
michelle (9:56:03 PM):  oh.... some posts from 9pm
rachael (9:56:27 PM):  Good night!
vincent (9:56:33 PM):  we made it, guys.  well done.  see you sometime soon.  I guess mabye tomorrow.
michelle (9:56:43 PM):  good night.
george (9:56:43 PM):  ok goodnight people, nice talking with you, got a midterm tomorrow
