meg (20:01:24 PM):  Hi everyone:)
meg (20:46:20 PM):  better climate
macy (20:46:21 PM):  athens yeah
lynn (20:46:33 PM):  david or luke, do you agree with athens being third?
david (20:46:52 PM):  yeah, Athens could be third
lynn (20:47:26 PM):  how about you, luke?
lynn (20:48:10 PM):  (bueller, bueller...)
macy (20:48:14 PM):  lol
melany (20:48:17 PM):  haha
luke (20:48:39 PM):  umm i dont see why not... im just basing my opinions really off of what ive heard since i havent been to any of these places
lynn (20:48:53 PM):  ok, cool
lynn (20:49:03 PM):  should we pick a fourth? london?
melany (20:49:16 PM):  yeah that sounds good
luke (20:49:17 PM):  suree
macy (20:49:19 PM):  we talked a bit about london so that is a good idea
lynn (20:49:52 PM):  yea, although there were a lot of negative things said about london, too. anybody have some other place they think should be ahead of london?
macy (20:50:01 PM):  vienna?
lynn (20:50:13 PM):  we also mentioned rome and florence
macy (20:50:15 PM):  just thought of it
lynn (20:50:19 PM):  cool
melany (20:50:19 PM):  barcelona?
melany (20:50:21 PM):  madrid?
lynn (20:50:23 PM):  right
lynn (20:50:43 PM):  what do you all think for fourth place?
luke (20:51:05 PM):  madrid sounds like a cool as well
luke (20:51:09 PM):  nice and hot
melany (20:51:12 PM):  yeah haha
melany (20:51:13 PM):  supposbly
luke (20:51:21 PM):  yeaa
lynn (20:51:27 PM):  yea, i'm kind of leaning towards madrid or barcelona or rome for fourth over london myself
melany (20:51:34 PM):  yeah climate seems better
lynn (20:51:52 PM):  also seems like more of a "partying" place, if that's what we're looking for
macy (20:51:53 PM):  anywhere in spain is nice i hear from my spanish friend
macy (20:52:01 PM):  he always says to see the beaches there someday
luke (20:52:17 PM):  yeaa ive heard that too
melany (20:52:26 PM):  i love the beach
melany (20:52:28 PM):  who doesnt?
melany (20:52:29 PM):  haha
david (20:52:40 PM):  yeah
meg (20:53:06 PM):  madrid soungs cool for fourth
melany (20:53:12 PM):  i agree
meg (20:53:25 PM):  sorry i had to go yell at my dog for eating stuff
lynn (20:53:29 PM):  haha
lynn (20:53:31 PM):  poor dog
meg (20:53:46 PM):  Not when he goes into the garbage can!
meg (20:53:50 PM):  grrr
lynn (20:53:54 PM):  well, right
meg (20:53:57 PM):  lol
macy (20:54:17 PM):  we got a good list there- good input
melany (20:54:18 PM):  hahahah i hate when my dog does that
lynn (20:54:18 PM):  ok, so amsterdam, paris, athens and madrid
melany (20:54:26 PM):  sounds great to me
luke (20:54:27 PM):  yeaa
meg (20:54:40 PM):  i'd say rome and florence next
melany (20:54:47 PM):  yeah they sound great too
macy (20:54:57 PM):  sure- again lots of history and sites to see
lynn (20:55:04 PM):  sounds good to me
lynn (20:55:20 PM):  which one, though?
melany (20:55:23 PM):  so everyone would want to go to amseetrdam most ikely?
melany (20:55:25 PM):  likely*
macy (20:55:27 PM):  rome?
melany (20:55:30 PM):  is that what we've decided?
lynn (20:55:37 PM):  i think so, mewlany
meg (20:55:38 PM):  i think rome first... and yes to melany
lynn (20:55:39 PM):  melany, sorry
david (20:55:57 PM):  yeah, amsterdam is best
melany (20:56:20 PM):  too bad we didnt win a free trip there tonight :)
melany (20:56:21 PM):  hahaha
lynn (20:56:32 PM):  i know, right??!!
melany (20:56:41 PM):  that would be great compensation
macy (20:56:42 PM):  watch out for the bikers in amsterdame- they rule the sidewalks with their bells
meg (20:56:59 PM):  i know! I'd be happy for sure
meg (20:57:20 PM):  go to europe instead of midterm tomorrow
meg (20:57:22 PM):  heck yes!
melany (20:57:22 PM):  hahaha macy
melany (20:57:24 PM):  thats funny
lynn (20:57:35 PM):  anybody have a strong preference for rome or florence over the other?
lynn (20:57:41 PM):  one's a bigger city
macy (20:57:42 PM):  its true- i was yelled at and everything and i was only 15 yrs old! lol
macy (20:57:52 PM):  i'd go with Rome
melany (20:57:52 PM):  ive got no preference
david (20:57:56 PM):  well, i dont want to make things difficult - yet i liked florence better, although i was only
luke (20:58:11 PM):  i think id pick florence as well
david (20:58:13 PM):  in each for about 5 days each, so i dont even know if thats enough to form a strong preference, but florence was cooler i thought
luke (20:58:25 PM):  just because ive heard more about it
meg (20:58:25 PM):  i'm game for either
macy (20:58:30 PM):  ii was never in either one so i can sway to a different city : )
lynn (20:58:48 PM):  i kind of think i'd go for florence too, just because i think it's more full of character
lynn (20:58:54 PM):  and more laid back
lynn (20:59:04 PM):  but i don't hve a strong preference
melany (20:59:08 PM):  hmmmm
macy (20:59:23 PM):  sounds like florence got the ranking
david (20:59:29 PM):  yeah, its smaller for sure - but older feeling, i dont know how thats possible, but its older, more pedestrian
melany (20:59:57 PM):  sounds good
lynn (21:00:03 PM):  sounds good to me
macy (21:00:07 PM):  sure
meg (21:00:08 PM):  probably just inhabited continuously for longer
lynn (21:01:06 PM):  very cool
meg (21:01:11 PM):  like, its not as ruined as rome is
meg (21:01:14 PM):  if that makes sense
melany (21:01:16 PM):  yea
luke (21:01:32 PM):  yupp
lynn (21:01:55 PM):  it's hard to believe how old some of these cities are
meg (21:02:00 PM):  i know!
melany (21:02:03 PM):  crazy!
melany (21:02:20 PM):  so much culture
david (21:02:28 PM):  yeah, real old - lots of ruins in greece too
macy (21:02:42 PM):  we just dont know what old means here in usa
melany (21:02:48 PM):  david, what did u think of the beaches in greece?
david (21:03:04 PM):  talcum powder sand, blue - clear water
lynn (21:03:06 PM):  i saw the mount vesuvius volcano in greece, where lot sof people died, and it was so amazing to see that
meg (21:03:10 PM):  awesome
david (21:03:14 PM):  amazing sun, i got burned though
lynn (21:03:17 PM):  cool about the beaches
david (21:03:21 PM):  a lot of british tourists
david (21:03:31 PM):  extremely warm water
meg (21:03:33 PM):  the brits are obsessed with greece lol
macy (21:03:35 PM):  how close were you lynn?
melany (21:03:54 PM):  sounds so good
david (21:04:02 PM):  Rhodes is amazing, its the largest of the Greek islands and runs 24/7 in the summer
lynn (21:04:08 PM):  right next to it. the town next to it was destroyed, but some people got caught and you could see the shapes of their bodies (which had long ago decomposed)
macy (21:04:18 PM):  oh wow
lynn (21:04:36 PM):  it was kind of gory, but amazing to think about it happening and what they went through
macy (21:04:47 PM):  absolutely and that you were right there seeing it
meg (21:05:03 PM):  i'd kill to see it
melany (21:05:09 PM):  me too
luke (21:05:34 PM):  sounds very interesting
macy (21:05:43 PM):  i had a wonderful visit to heidelberg in germany
david (21:05:46 PM):  sounds pretty gory though, if there are dead bodies
lynn (21:05:48 PM):  what did you see?
macy (21:06:11 PM):  beautiful city on a hill- city built within walls
lynn (21:06:13 PM):  yea, it was kind of, but you didn't see any bodies, just where the bodies were. The volcanic ash stuck in that formation
lynn (21:06:18 PM):  very cool, macy
meg (21:06:33 PM):  yeah, awesome
meg (21:06:34 PM):  :)
david (21:06:45 PM):  wait, so where is this city i wonder? it must be smaller, sounds interesting
david (21:06:52 PM):  if u guys are interested in greece, the
macy (21:06:54 PM):  scary to think that they stayed in those walls to stay away from the enemy so close
lynn (21:06:56 PM):  i can't remember the name
melany (21:07:00 PM):  hahaha
lynn (21:07:14 PM):  how big was the city?
meg (21:07:17 PM):  pompeii
david (21:07:22 PM):  Greek prime minister visited the white house yesterday and my friend in Thessalanoki, Greece sent me the link: link
lynn (21:07:25 PM):  oh right, that was it! of course!
melany (21:07:27 PM):  wow
meg (21:07:48 PM):  cool
david (21:08:27 PM):  oh te, my cousin lived there for a year in elementary school, she lived in a lot of places - a little off topic i guess
melany (21:08:43 PM):  thats cool
melany (21:09:12 PM):  was she a teacher?
melany (21:09:15 PM):  oh nevermind
melany (21:09:21 PM):  she was in elemenratry school
luke (21:09:26 PM):  haha yeaa
lynn (21:09:39 PM):  does she speak a little greek?
melany (21:09:44 PM):  interesting childhood she must have had
david (21:09:50 PM):  no, her parents were just big travelers
meg (21:10:04 PM):  sounds awesome
lynn (21:10:04 PM):  must have been nice
macy (21:10:08 PM):  here are some nice pics of that town in deutschland link
melany (21:10:20 PM):  thanks macy
melany (21:10:39 PM):  looks nice
lynn (21:10:51 PM):  the christmas market would be cool to see there
melany (21:11:00 PM):  i bet!
david (21:11:03 PM):  did u go to Cologne, i heard that is a good city too - so this is Heidelberg?
macy (21:11:07 PM):  ya know, i never thought to look up these places i visited so long ago- seeing them on the internet is a whole new experience
lynn (21:11:08 PM):  did you drink good beer, macy?
macy (21:11:10 PM):  never thought to look!
david (21:11:21 PM):  it looks pretty cool - yeah, there must have been a lot of good beer?
melany (21:11:29 PM):  yeah thats what germany is known for
macy (21:11:30 PM):  hahaha i didnt since i was quite young and just not into that scene then (too bad huh!)
meg (21:11:32 PM):  oh german beer would be great!!!
macy (21:11:44 PM):  i did go to Cologne,
melany (21:11:47 PM):  haha yea
melany (21:12:10 PM):  how was cologne?
luke (21:12:17 PM):  german beer is great
macy (21:12:22 PM):  i saw der dom in cologne which is a huge church
david (21:12:29 PM):  wow
luke (21:12:42 PM):  if uve ever been down to beer garden on broadway, they have a bunch
lynn (21:12:47 PM):  did you do any yodeling?
lynn (21:12:53 PM):  just kidding....
meg (21:12:55 PM):  sounds like a great visit... i love the biergarden
macy (21:12:56 PM):  lol
meg (21:13:00 PM):  it's so good!
meg (21:13:04 PM):  I went there for by bday
macy (21:13:11 PM):  i hear abouyt the biergarten on broadway ALL the time lol
david (21:13:16 PM):  yeah, beer garden - or the one on Madison, has a lot of international beers
macy (21:13:18 PM):  nevr been though
luke (21:13:20 PM):  haha yeaa its a good time
david (21:13:24 PM):  beer garden has a lot of stuff on the floor
lynn (21:13:24 PM):  mahar's?
david (21:13:28 PM):  yeah, mahars
meg (21:13:33 PM):  no, wolff's
meg (21:13:43 PM):  oh woops
macy (21:13:43 PM):  this is waaay cool: link
lynn (21:13:46 PM):  every kind of beer you can imagine! but they are so rude
david (21:13:47 PM):  where is Wolff's? i've nver heard of it?
melany (21:13:50 PM):  wow!
lynn (21:13:52 PM):  oh wolff/s? never heard of it?
meg (21:13:59 PM):  broadway, all the way downtown
meg (21:14:02 PM):  towards menands
lynn (21:14:03 PM):  huh
macy (21:14:16 PM):  i was at wolfs for a party last month- a great party room in the room if you rent it out
luke (21:14:31 PM):  yeaa and good food
melany (21:14:39 PM):  sounds great
david (21:14:45 PM):  amazing picture
lynn (21:14:46 PM):  i'll have to try that
meg (21:14:48 PM):  oh that sounds great
macy (21:15:13 PM):  david, looking at this, hard to believe i was there. my pics sure didnt turn out so well! lol
lynn (21:16:05 PM):  that der dom looks like notre dame! very cool. i love that top picture on that page
melany (21:16:15 PM):  beautiful
macy (21:16:19 PM):  link this one is really awesome!
meg (21:16:33 PM):  oh that is amazing
lynn (21:16:42 PM):  yes, amazing
luke (21:16:53 PM):  awesomee
david (21:17:39 PM):  wait, those are your pictures?
david (21:17:40 PM):  wow
macy (21:17:44 PM):  no, not mine!
macy (21:17:58 PM):  lol mine werent as nice taken on a camera from 1993
melany (21:18:01 PM):  haha
lynn (21:18:03 PM):  haha
david (21:18:19 PM):  yeah, i mean if those were your pictures youd be like a professional
meg (21:18:21 PM):  lol
lynn (21:18:30 PM):  yes, you should drop out of school and became a photog!
david (21:18:47 PM):  yeah, this last one is real nice - i like how its at night, very pretty
melany (21:18:51 PM):  seriously! theyre great!
david (21:18:59 PM):  damn, looks real good pictures!
luke (21:19:56 PM):  all great photos
macy (21:20:06 PM):  yeah someone's blog i think
lynn (21:20:08 PM):  yes
meg (21:20:09 PM):  I love pictures from traveling
meg (21:20:10 PM):  :)
lynn (21:20:16 PM):  me too
meg (21:20:18 PM):  they're always so awesome to see again after
melany (21:20:21 PM):  so lucky to be able to travel!
meg (21:20:59 PM):  agreed
lynn (21:22:03 PM):  just for kicks, is there any place you all would like to go outside of europe?
macy (21:22:08 PM):  YES
melany (21:22:09 PM):  hmmm
meg (21:22:15 PM):  i want to travel the world
meg (21:22:16 PM):  lol
melany (21:22:16 PM):  good question
melany (21:22:18 PM):  me too haha
macy (21:22:18 PM):  australia is my #1 place i want to go
meg (21:22:23 PM):  south america would be cool
luke (21:22:25 PM):  hmmm Cabo
meg (21:22:27 PM):  agree to macy
luke (21:22:33 PM):  or figi
macy (21:22:41 PM):  where is cabo- sounds familiar
lynn (21:22:45 PM):  is that mexico?
luke (21:23:15 PM):  yeaa
luke (21:23:25 PM):  or punta cana which is in the dominican
lynn (21:23:42 PM):  never heard of that
meg (21:23:47 PM):  i liked puerto rico
lynn (21:23:47 PM):  why there?
david (21:23:49 PM):  yeah, buenos airies
melany (21:23:52 PM):  i want to go to costa rica
meg (21:23:53 PM):  that was amazing
david (21:23:58 PM):  or like somewhere in South america
macy (21:24:09 PM):  yes somewhere with jungle would be amazing
lynn (21:24:09 PM):  they all sound good to me
meg (21:24:12 PM):  i want to go to peru
luke (21:24:19 PM):  all for the amazing climates
melany (21:24:21 PM):  all soooo warm
melany (21:24:22 PM):  hahaha
macy (21:24:23 PM):  my coworker just got back from peru like 2 wks ago!
meg (21:24:25 PM):  and see the aztec ruins
macy (21:24:29 PM):  i havent seen her pics yet though
meg (21:24:30 PM):  awesome
meg (21:24:35 PM):  i think its aztec
meg (21:24:39 PM):  i dont remember now lol
david (21:24:41 PM):  wow, did she go there for business or personal travel?
macy (21:24:45 PM):  she said they had huge floods recently wiping out a lot
melany (21:24:50 PM):  yikes
macy (21:24:54 PM):  she is from peru- lived her many years though
macy (21:24:57 PM):  here
david (21:25:01 PM):  wow
lynn (21:25:09 PM):  hm
macy (21:25:16 PM):  they actually held monkeys
melany (21:25:37 PM):  wow
meg (21:25:39 PM):  cooooool!!!
macy (21:25:42 PM):  which i thought was interesting, cute, and scary all at the same time
meg (21:26:00 PM):  i'd go to madagascar for the lemurs
meg (21:26:01 PM):  lol
macy (21:26:06 PM):  nice
meg (21:26:23 PM):  i'm an anthropologist
lynn (21:26:26 PM):  i'd love to go to africa someday, senegal or somewhere else on the west coast
meg (21:26:27 PM):  so i love monkeys lol
meg (21:26:32 PM):  i'd go to kenya
lynn (21:26:34 PM):  haha
moderator (21:27:06 PM):  Hi all, as we near the end, I wanted to remind you to fill out the survey when you leave. http://scil.ils.albany.edu/survey_groupb.html
lynn (21:27:15 PM):  ok
lynn (21:27:25 PM):  thanks everybody, we have an awesome list!
macy (21:27:33 PM):  thanks- enjoyed it
meg (21:27:46 PM):  thanks
meg (21:27:48 PM):  have a good night!
luke (21:27:52 PM):  thanks
lynn (21:28:03 PM):  u2
melany (21:28:07 PM):  night!
david (21:28:13 PM):  take it easy guys
