julie (20:00:04 PM):  heyy
macy (21:09:12 PM):  why more sports teams?
david (21:09:23 PM):  maybe raising standards -
julie (21:09:25 PM):  and sports doesn't help
rick (21:09:33 PM):  maybe like school rec teams in addition to the formal school team
david (21:09:37 PM):  but maybe not too - sports teams, have to be equal
david (21:10:05 PM):  if you add a womens sports team, its the law to add one more for men,and vice versa - TITLE IX - more sports teams cant hurt, provided u have the funds
david (21:10:14 PM):  and its not taken from more scholastic programs
leah (21:10:34 PM):  right funding is usually a problem
julie (21:10:37 PM):  i feel like sports takes away from learning
rick (21:10:48 PM):  funding...ugh
rick (21:10:52 PM):  :-p
leah (21:10:53 PM):  lol rick
vicky (21:10:54 PM):  hahaha
vicky (21:11:01 PM):  better funding = #5
vicky (21:11:03 PM):  :)
david (21:11:04 PM):  how does it take away from learning?
julie (21:11:05 PM):  maybe more funding can be a solution
leah (21:11:15 PM):  yea i dont think it takes away from learning
julie (21:11:35 PM):  how does it help men enter health fields?
leah (21:11:37 PM):  i think it would give more incentive to learn and to perform better that way you can actually play
david (21:11:37 PM):  yeah - well more funding - if u live in a wealthy area and the taxes are high or if your parents send you to a great private school, but otherwise - more funding isnt always an option
rick (21:11:49 PM):  the govnmt could put so much money from the war into better uses, like education
david (21:11:54 PM):  yeah
david (21:11:56 PM):  definitely
rick (21:12:06 PM):  >:o
leah (21:12:09 PM):  haha
leah (21:12:32 PM):  what about charter schools?
david (21:12:48 PM):  instead, we're being taxed to pay for soldiers to murder people over seas, thats what we're paying for - instead of being taxed to finance education and health care, we're being taxed so the government can spend billlions of dollars to murder people that i proly will never see and dont even care about
david (21:13:05 PM):  lets get focused
rick (21:13:07 PM):  exactly
leah (21:13:13 PM):  it could raise the performance of teachers and that could raise the performance of students
rick (21:13:21 PM):  chat hijack
leah (21:13:24 PM):  haha
david (21:13:32 PM):  wow , its so easy to get off topic here, my bad - its not real appropriate - but in terms of funding, one of our solutions
rick (21:13:38 PM):  haha
julie (21:13:43 PM):  im going to list some of the ideas we have and everyone can say whether they agree or not
julie (21:13:46 PM):  1. hands-on activities 2. workplace (internships?) 3. more male teachers 4. extracurricular activities 5. gender-specific learning skills
david (21:13:54 PM):  could be to divert money to education from military or sometihng like that, wherever you want to take it from
macy (21:14:10 PM):  good- there are 5
rick (21:14:11 PM):  the govnmt moving some financials around, reprioritization!
leah (21:14:19 PM):  yea but i dont think that will happen david... we are soooo big on our military
rick (21:14:29 PM):  yeahhhh...
vicky (21:14:31 PM):  I'm not sure about #5 julie
david (21:14:41 PM):  yeah, thats a great list julie - its not super specific - in terms of 4, but i could've contributed there and i didnt
vicky (21:14:46 PM):  maybe differentiated learning, but I think splitting things by gender is off-track
leah (21:14:50 PM):  not gender specific just learning skills in general
david (21:14:51 PM):  what do we mean extracurricular activities
vicky (21:15:04 PM):  I think that was the idea for more sports?
rick (21:15:08 PM):  Perhaps making the school more than just schoo
vicky (21:15:09 PM):  I'm not down with that one either
rick (21:15:10 PM):  school
david (21:15:18 PM):  nobody likes the idea of single sex classrooms? its just for one or two classes of the day when you're like eight years old
leah (21:15:18 PM):  yeah rick
vicky (21:15:18 PM):  if kids don't want to show up
rick (21:15:19 PM):  more than sports too
vicky (21:15:23 PM):  they don't want to stay longer than they have to
julie (21:15:33 PM):  well we can make it more specific, i was just seeing if everyone was on the same page
rick (21:15:38 PM):  but what if there was interesting stuff to do
rick (21:15:46 PM):  instead of just class
leah (21:15:48 PM):  i think maybe gym can be gender specific lol
vicky (21:16:12 PM):  there would be a survey of at-risk boys
david (21:16:15 PM):  yeah, thats why classes are broken up - there is some music education, physical education, etc
vicky (21:16:16 PM):  asking them what would make them stay in school
vicky (21:16:20 PM):  *should not would
vicky (21:16:38 PM):  all at-risk kids, really
rick (21:17:00 PM):  In my school I was the last class to use the wood shop, that was the coolest (and most dangerous) class ever. If there was more practical, hands on learning mixed in boys might feel motivated to stay.
leah (21:17:04 PM):  yeah but also i think there are certain girls and guys who prefer maybe a more sport oriented gym class or a less sport oriented gym class
david (21:17:34 PM):  you can do both for gym - it doesnt have to be sport oriented
david (21:17:40 PM):  it should be both
vicky (21:17:49 PM):  I think hands-on would make a lot of kids more interested rick
vicky (21:17:51 PM):  not just boys
rick (21:18:04 PM):  but boys would be affected
vicky (21:18:07 PM):  definitely
leah (21:18:11 PM):  agreed
vicky (21:18:12 PM):  I just wouldn't qualify it by gender
rick (21:18:13 PM):  its hard to narrow the scope to just boys
julie (21:18:26 PM):  yes
leah (21:18:28 PM):  definitely is
vicky (21:18:34 PM):  I think that something would promote learning/staying in school in general
david (21:18:37 PM):  yeah - but theres evidence that they just are more active, theyre more physical
vicky (21:18:39 PM):  would count if it also influenced boys
david (21:18:43 PM):  its just a fact
vicky (21:18:56 PM):  I think it's a stereotype david
vicky (21:19:00 PM):  but that's a long story
vicky (21:19:07 PM):  about socialization and sexism
david (21:19:29 PM):  well, there are some boys who are not active - and whether its through socialization or biology or a combination, girls are less active
vicky (21:19:41 PM):  using your argument
vicky (21:19:48 PM):  boys are just going to graduate less
david (21:19:48 PM):  and boys are more - we're not going to have the power to change society, people coform to gender stereotypes
vicky (21:19:50 PM):  because they already do
david (21:19:52 PM):  *conform
david (21:20:05 PM):  yeah - but the state's role
david (21:20:45 PM):  is to be secular, to be committed to equality , etc. - and we've seen this time and time again, the state is far reaching - how many billions of dollars did the state spend to advance women in the 1980s and 1990s
david (21:20:56 PM):  so its certainly not unprecendented
rick (21:21:02 PM):  Alright so we're at what will keep boys interested in school.
julie (21:21:02 PM):  so the more extracurricular activities can be attending more sports?
rick (21:21:03 PM):  More chances at physical activity and more hands on learning.
david (21:21:04 PM):  it would just be unprecennted for boys
david (21:21:36 PM):  its still a radical idea for boys, but i really dont think white women are minorities any more -they have opportunity
julie (21:22:10 PM):  lets stay focus, this isn't about race
david (21:22:10 PM):  okay - so back on track here - how about more physical activity as an option for either gender - you can always opt out -
leah (21:22:13 PM):  lol
julie (21:22:24 PM):  agree
david (21:22:26 PM):  i'm sure more girls than boys will opt out, but we can just give them a chocie
david (21:22:29 PM):  choice
rick (21:22:31 PM):  I say more interesting classes and physical activity
leah (21:22:40 PM):  yea definitely
rick (21:22:43 PM):  interjected between math, science, etc
david (21:23:10 PM):  yeah, good idea
julie (21:23:14 PM):  so we'll add physical activity to the list?
leah (21:23:35 PM):  i would think so
david (21:23:36 PM):  yeah, def. - why not - it could even be experimental
david (21:23:50 PM):  it should be tried though, the idea has enough support to try i think
julie (21:24:03 PM):  ok, so now gender specific learning.. maybe we can be more specific
vicky (21:24:27 PM):  I still disagree with that
rick (21:24:39 PM):  I think of gender specific learning, students should take charge of their own learning
rick (21:24:46 PM):  individualized learning
julie (21:24:50 PM):  ok so we have one more issue
rick (21:24:57 PM):  possible with some subjects
david (21:24:58 PM):  at 7 or 8 years old, u dont have initiative to take charge of your learning
leah (21:24:59 PM):  i disagree w/ gender specific learning as well
rick (21:25:09 PM):  I mean give students decisions
vicky (21:25:20 PM):  "authentic learning"
rick (21:25:22 PM):  its as easy as choosing a book to read instead of doing a class book
vicky (21:25:39 PM):  more real-life scenarios and choice
vicky (21:25:51 PM):  I think that's effective for all kids regardless of gender
david (21:25:52 PM):  so a grade schooler is intelligent and experienced enough for that decision? its okay to go with what they like, but a lot of things have to be decided for them -
vicky (21:26:02 PM):  well of cousre
vicky (21:26:03 PM):  *course
david (21:26:09 PM):  yeah, choosing a book or class work
vicky (21:26:10 PM):  but give them a range of choices
david (21:26:12 PM):  that is a good example
david (21:26:13 PM):  yeah
rick (21:26:17 PM):  You give them decisions out of a set
vicky (21:26:18 PM):  instead of saying "read this. write that."
rick (21:26:23 PM):  never free reign
david (21:26:25 PM):  a range of choices - yeah, thats a good idea
julie (21:26:38 PM):  ok i think we got it!
rick (21:26:42 PM):  haha their still has to be a teacher
david (21:26:42 PM):  but also - just to be practical - some things have to be universal , and standards met
leah (21:26:44 PM):  definitely a range of choices is an awesome idea
rick (21:26:53 PM):  yeahhhh
david (21:27:01 PM):  so i think gender specific is good, but its debatable among the group -
david (21:27:11 PM):  so we can just say a range of choices as the final
david (21:27:17 PM):  point on the list
rick (21:27:19 PM):  I agree
leah (21:27:22 PM):  agreed
julie (21:27:58 PM):  1. hands-on activities 2. workplace (internships?) 3. more male teachers 4. extracurricular activities- more physical activity 5. range of choices- more individuation
vicky (21:28:18 PM):  works for me
leah (21:28:18 PM):  yeap
macy (21:28:22 PM):  sure
david (21:28:25 PM):  this is proly not even my real first name i'm using. great list though! excellent work, thanks for compiling that julie
rick (21:28:28 PM):  sounds good
david (21:28:40 PM):  awesome - its complete
rick (21:28:51 PM):  Let the change begin
leah (21:28:56 PM):  yeap
julie (21:29:04 PM):  lol np.. nice work everyone
leah (21:29:13 PM):  great chat
moderator (21:29:28 PM):  Hi all, as we near the end of the discussion, I'd like to remind everyone to please fill out the survey.
vicky (21:29:35 PM):  ?
david (21:29:36 PM):  what happened to vicky
moderator (21:29:46 PM):  link
vicky (21:29:58 PM):  oh!
vicky (21:30:00 PM):  thanks
david (21:30:00 PM):  thanks for the link
vicky (21:30:03 PM):  night all
david (21:30:19 PM):  bye
rick (21:30:21 PM):  had fun, nice working with you all
julie (21:30:25 PM):  ok thanks, night!
rick (21:30:25 PM):  bye
leah (21:30:25 PM):  bye
leah (21:30:29 PM):  have a goodnight
rick (21:30:32 PM):  bye
moderator (21:34:49 PM):  link
moderator (21:34:57 PM):  that's the right link, david. :-)
moderator (21:35:23 PM):  link
