nick (7:59:30 PM):  hello
amy (9:22:08 PM):  does this play into our topic....people living different lives via the internet/ technology
michelle (9:22:25 PM):  I agree, nick, it is also hard
mara (9:22:27 PM):  jordan about "sexting" sending sex messages in text messages... pics, videos, etc
john (9:22:36 PM):  maybe teens have their own virtul world
mara (9:22:41 PM):  i think it really does... personally
amy (9:22:42 PM):  would kids take pictures of themselves and mail it to friends before technology like today
michelle (9:22:55 PM):  probably, mara
george (9:22:59 PM):  electronic booty call...good stuff
nick (9:23:04 PM):  no, but they might make drawings!
john (9:23:08 PM):  yes
mara (9:23:08 PM):  yeah its your choice i guess its not really porn...
mara (9:23:13 PM):  yeah haha george
amy (9:23:14 PM):  lol
michelle (9:23:17 PM):  don't think so, amy
jordan (9:23:21 PM):  I feel lost.
mara (9:23:27 PM):  people are really getting desperate for sex now a days
john (9:23:55 PM):  sure
amy (9:23:58 PM):  maybe its all the internet interfacing and no real relationships to feel worthy
jordan (9:24:07 PM):  oh, u r talking about sex? how.....?
mara (9:24:22 PM):  like sending a nude photo... jordan
john (9:24:22 PM):  it is the result of internet
mara (9:24:29 PM):  thats considered "sexting"
nick (9:24:38 PM):  jordan, mara has sex on her mind....
jordan (9:24:40 PM):  internet sex? sounds weird.
john (9:24:55 PM):  haha
michelle (9:25:21 PM):  jordan, like the shocking news in Hongkong last year...
mara (9:25:23 PM):  yeah you  know me nick
jordan (9:25:26 PM):  well, everybody does, sometimes.
amy (9:25:37 PM):  michelle, what?
george (9:25:50 PM):  jordan, they are talking about sending text messages with sexual content!
jordan (9:25:53 PM):  i know nothing about the HK thing.
mara (9:26:04 PM):  cyber sex used to be very common
jordan (9:26:05 PM):  I see, george.
john (9:26:11 PM):  what
mara (9:26:26 PM):  hk?
michelle (9:26:29 PM):  last year, many famous HK movie stars' photos were posted online
george (9:26:31 PM):  go mara!
amy (9:26:36 PM):  hong kong
michelle (9:26:40 PM):  Hong Kong
john (9:26:43 PM):  i see
jordan (9:26:45 PM):  I once met a teacher sending porn photos to his girl students and was accused of molesting.
nick (9:27:26 PM):  YIKES
john (9:27:41 PM):  it is serious
amy (9:27:42 PM):  what was the issue michelle-  was it photshop stuff?
michelle (9:27:50 PM):  They took those pics with only one boy whose name is Guanxi CHen, forgot the English name...Then this CHen's computer information was stolen when he sent him computer to a store for repairing.....
jordan (9:28:02 PM):  but i don't understand how can one get satisfied sexually by sending porn things through email to orther peple.
mara (9:28:08 PM):  one of my ex friends... i stress the EX.. i got her a job and she started to our boss who was eganged and sent him some nasty photos and the girls found out and ever since we dont talk anymore i think shes embarressed
john (9:28:16 PM):  haha Guanxi
mara (9:28:25 PM):  lol
george (9:28:28 PM):  ooh, is crystal liu one of them?
john (9:28:51 PM):  we call Guanxi cameraman
jordan (9:29:01 PM):  know nothing of it.
jordan (9:29:18 PM):  you mean the movie star?
amy (9:29:21 PM):  if you dont want something shared to the world, dont put it on a computer!
michelle (9:29:25 PM):  who is crystal liu? maybe not
john (9:29:26 PM):  yes
amy (9:29:33 PM):  lol  just a quick lesson
john (9:29:36 PM):  Chen Guanxi
michelle (9:29:38 PM):  yes, amy
jordan (9:29:48 PM):  I don't care.
george (9:29:51 PM):  guanxi is a dude?
jordan (9:30:10 PM):  he is.
john (9:30:17 PM):  sure
george (9:30:17 PM):  oh man...i don't want to see him naked lolz
michelle (9:30:18 PM):  he is now in hollywood, right?
george (9:30:29 PM):  crystal liu is an actress, she's hottttt
michelle (9:30:35 PM):  but one of the female victims got splited with her finace
john (9:30:44 PM):  i don't think so michelle
jordan (9:30:45 PM):  I can't bear to see a MAN naked.
mara (9:30:49 PM):  i agree she is hot... lol
nick (9:30:52 PM):  victim of what exactly?
michelle (9:31:52 PM):  victim whose such photos got distributed to the Internet. She took the pictures privately and they were stored in CHen's computer...
nick (9:32:01 PM):  OK
jordan (9:32:09 PM):  movie stars are sometimes desperate to become famous. they can do everything.
jordan (9:32:21 PM):  sorry. stars are already famous.
michelle (9:32:25 PM):  hehe,
amy (9:32:30 PM):  yeah any publicity is good publicity
george (9:32:31 PM):  hehe right on, mara!
mara (9:32:33 PM):  like girls on BET uncut
michelle (9:32:38 PM):  maybe they want to be more famous, jordan
john (9:32:47 PM):  thoes girl are victim
jordan (9:33:08 PM):  Bet uncut? what that's
michelle (9:33:23 PM):  oh, jordan
john (9:33:33 PM):  i dont think so
mara (9:33:38 PM):  george i will let you explain this on... people are going to  think i am a freak haha
michelle (9:33:53 PM):  hehe
jordan (9:34:10 PM):  i just don't know it.
john (9:34:15 PM):  haha
jordan (9:34:33 PM):  seems i'm the only one unfamiliar with it.
mara (9:34:50 PM):  BET is like MTV but for african americans
george (9:34:54 PM):  actually i am unfamilliar with BET uncut...you better take this mara!
jordan (9:34:54 PM):  plz explain
george (9:35:05 PM):  black entertainment TV?
george (9:35:13 PM):  ah ok
mara (9:35:23 PM):  and BET uncut is a show that comes on after hours where they have music videos that have everyday women int hem who are trying to make it big time
jordan (9:35:26 PM):  is this internet lingo/
john (9:35:27 PM):  which tv
mara (9:35:29 PM):  yes george
amy (9:35:36 PM):  lol
nick (9:36:00 PM):  I feel that we're drifitng off topic?
jordan (9:36:08 PM):  there is a lot for me to learn. i'm outdated.
mara (9:36:10 PM):  so they are all used and objectifies in the music videos in hopes to be in SNOOP DOGG video or someone more famous like that
mara (9:36:52 PM):  its just TV and not internet... but either way technology that is being used to get jobs and such
george (9:36:55 PM):  ah like the upskirts?
john (9:36:59 PM):  nick i think our topic now is a kind of internet
jordan (9:37:14 PM):  ????
george (9:37:21 PM):  i think there's a lot of girls that like the thought of having their tush on tv, too!
mara (9:37:28 PM):  still dont get it jordn?
michelle (9:37:39 PM):  second life or skpe or .....
mara (9:37:47 PM):  i mean its not that serious... and i dont suggest you watch it anytime haha
jordan (9:37:50 PM):  a bit understanding comes
amy (9:38:11 PM):  what about the surveillance of skype- that article
john (9:38:11 PM):  haha
nick (9:38:24 PM):  Boy, jsut imagien this chat session being analyzed..!!
jordan (9:38:29 PM):  Why do you haha?
mara (9:38:32 PM):  does anyone use monster.com or anything for employment?
jordan (9:38:43 PM):  nope
george (9:38:50 PM):  this chat session rules!
jordan (9:38:55 PM):  trustable?
michelle (9:39:11 PM):  I used monster.com before, it is good.
jordan (9:39:24 PM):  I mean monster, is it reliable?
michelle (9:39:35 PM):  wait, is it the web site in my mind. let me check
mara (9:39:42 PM):  amy... i read that but i dont know how i feel about that becuase i think that verything has the potential to be watched ya know? kinda like we are right now
john (9:39:57 PM):  i havn't
michelle (9:40:01 PM):  i think it is.
mara (9:40:11 PM):  i think so jordan... i use it and i get responses back from people
mara (9:40:17 PM):  i actually like the site a lot
amy (9:40:23 PM):  The list also serves as a filter to restrict text conversations.    i found that part interesting- censorship
jordan (9:40:30 PM):  maybe ican try
michelle (9:40:42 PM):  I agree, mara, in real world, we are also watched, maybe we don't know yet. like FBI thing?
george (9:40:45 PM):  yea like i said if your privacy is a concern, don't put it on the internet in any form
nick (9:40:48 PM):  That NYT Skype surveillance article is amazing
jordan (9:40:49 PM):  censorship intersrting?
john (9:40:50 PM):  me too
amy (9:40:57 PM):  for safety reasons mainly
jordan (9:41:02 PM):  what do you mean? no kidding.
john (9:41:07 PM):  agree with george
mara (9:41:08 PM):  its kinda like wikipedia... if you write edit something on there and make it wrong... cuz anyone can, i bet it will be fixed tomorrow haha
mara (9:41:32 PM):  right..
john (9:41:47 PM):  sure
nick (9:41:51 PM):  It's scary to think that the Chinese government is monitoring everything online in that country and replacing "objectionable" words!
jordan (9:42:04 PM):  mara says wikipedia. Is everything on wiki reliable?
mara (9:42:12 PM):  some people... young kids... dont understand the comsequences for putting info up tho so they do it ya know?
amy (9:42:31 PM):  no way-  i never use wikipedia for anything
mara (9:42:39 PM):  NOOOOOOO wikipedia is just a quick site you can check but you should just use that because i have found lots of info to be inccorrect
nick (9:42:43 PM):  even words like "earthquake" and "milk"
amy (9:42:43 PM):  why use that when you can find a reliable source for info online these days
michelle (9:42:49 PM):  wikipedia is not trustable, agree?
mara (9:42:59 PM):  i mean it is sometimes, but you should always double check
john (9:43:13 PM):  i think so
jordan (9:43:23 PM):  Well go to encarta encyclopedia.
amy (9:43:31 PM):  right on
jordan (9:43:33 PM):  I prefer encarta.
mara (9:43:34 PM):  im a nerd so i love reading journals and scholarly work haha not wikipedia
john (9:43:48 PM):  the screen is flashing again
jordan (9:43:49 PM):  Britannica is also good.
mara (9:44:20 PM):  im getting tired.. i need a nap!
jordan (9:44:22 PM):  both encarta and britannica have updates.
nick (9:44:30 PM):  yes, my eyes are tired
george (9:44:32 PM):  wikipedia often links other resources at the bottom of the article
john (9:44:59 PM):  yes it has rich resources
jordan (9:45:06 PM):  what will be the topic for tomorrow?????????
mara (9:45:06 PM):  yeah george, i dont htink that everything on there is unreliable... but you hould still double check
mara (9:45:19 PM):  not sure till tomorrow i guess
michelle (9:45:39 PM):  tomorrow is job interview, right?
jordan (9:45:41 PM):  great fun talking like this.
mara (9:45:45 PM):  oh nick... CHINA is collectivist dont forget that haha
amy (9:45:46 PM):  i believe so
george (9:45:49 PM):  hopefully it will be sexting and how to start a tactile feed back internet company!
john (9:45:54 PM):  really?
nick (9:46:13 PM):  LOL
mara (9:46:16 PM):  weirdo george... haha im down!
amy (9:46:29 PM):  this was an interesting conversation for sure tonight
jordan (9:46:31 PM):  What do y mean mara?
mara (9:46:39 PM):  i will be here around 9pm if i can get on cuz i have class till 830
mara (9:47:10 PM):  i mean that they monitor and change stuff because they all care about eachother and the info they are getting... unlike US who could care less about others but themselves
jordan (9:47:34 PM):  see, mara.
nick (9:47:39 PM):  wait - they monitor because they care????
john (9:47:54 PM):  diffirent culture
amy (9:48:03 PM):  lack of freedom of speech
nick (9:48:05 PM):  not because they are repreesing informationt aht is unflattering to the government?
george (9:48:12 PM):  big brother is watching....because we care.
nick (9:48:14 PM):  repressing
mara (9:48:17 PM):  i dont know if that the word... but  you know haha
jordan (9:48:36 PM):  anybody read 1984
jordan (9:48:39 PM):  ?
mara (9:48:41 PM):  im done with this for tonight i love you all and i will miss you while we're apart!
amy (9:48:50 PM):  not yet
jordan (9:48:54 PM):  by George Orwell.
amy (9:49:00 PM):  i'll put it on the list!
george (9:49:04 PM):  <3
john (9:49:05 PM):  goodbye
george (9:49:16 PM):  good night mara :(  S2
amy (9:49:20 PM):  night everyone-  enjoy your days tomorrow
jordan (9:49:21 PM):  bb
mara (9:49:23 PM):  put it on FOX
mara (9:49:28 PM):  they are talking about sexting right now!
nick (9:49:31 PM):  bye
john (9:49:32 PM):  good night
mara (9:49:36 PM):  night everyone
michelle (9:49:37 PM):  intereresting conversation. hi there, see you later.
george (9:49:53 PM):  good night everybody
mara (9:49:59 PM):  20% of teens have sent nude photos of themselvesa
mara (9:50:13 PM):  if they forward it they can get charged!
