shelly (11:25:37 AM):  Howdy, howdy.
shelly (12:53:02 PM):  I was a college DJ. I loved playing weirdass stuff nobody ever heard of. I would play things if I thought the album cover was cool (dating myself here).
ariel (12:53:10 PM):  i wonder if ETH has looked into that
vincent (12:53:32 PM):  yeah, college radio is really special.  you can hear some stuff you wouldn't hear anywhere else.
shelly (12:53:40 PM):  Higher ups always tried to give me a playlist. I ignored them. Wasn't "employee of hte month" much. ;)
ariel (12:53:45 PM):  i always liked listening to cool stuff on college radio
vincent (12:53:48 PM):  as DJ's even, like, whoa, what's this?  let's play it?
ariel (12:54:05 PM):  they are the up and coming fans, get them interested and who knows what will happen
shelly (12:54:43 PM):  We have a station around here that run by AMC (public radio) at 97.7. They are like a college station but even more eclectic. They are on teh web too. Exit 97.7 I think.
vincent (12:54:44 PM):  totally.
ariel (12:54:46 PM):  i would have loved being a DJ except i think i would have been too shy
ariel (12:54:53 PM):  but getting to play all sorts of cool music
vincent (12:54:55 PM):  whoa!  chat freakout!!!!
ariel (12:54:58 PM):  would have been fun
vincent (12:54:59 PM):  my screen went nuts
vincent (12:55:37 PM):  you could have done the "all music, no talking" hour!
ariel (12:55:43 PM):  yeah every once and a while i get the chat in clumps
shelly (12:55:52 PM):  They've discovered us. Gak! Hide the stuff!
ariel (12:55:57 PM):  true, if only i had thought of that now
ariel (12:55:58 PM):  then
vincent (12:56:08 PM):  I don't know shelly and ariel!
vincent (12:56:15 PM):  I just got here!
ariel (12:56:33 PM):  wait what?
shelly (12:56:33 PM):  Also, you are talking to a mic. No one's around and if you play really weird stuff, you can imagine that no one is listening. That frees you up a bit.
vincent (12:56:49 PM):  nothing.  playing along with shelly's "hide the stuff" joke
ariel (12:56:52 PM):  you are i your own little world
ariel (12:57:08 PM):  my sister's friend is a dj at her school and i always bug her to play enter the haggis
ariel (12:57:22 PM):  oh i see
ariel (12:57:25 PM):  haha
shelly (12:57:26 PM):  I always knew my roomies and girl were listening so I couldn't go too far off the rails. Sometimes I would have them up in the studio and they would help me DJ. We used to read PSAs in weird voices. I was a serious troublemaker. ;)
vincent (12:57:29 PM):  is it time to stop now?
vincent (12:57:46 PM):  haha
ariel (12:57:55 PM):  now i am wishing i could have heard you,
ariel (12:58:01 PM):  must have been a blast
ariel (12:58:20 PM):  well sure i could go, i have a million things to accomplish today
shelly (12:58:26 PM):  Looks like it. Thanks for the fun chat. Maybe I'll "see" you all this weekend.
vincent (12:58:31 PM):  too bad you didn't record your shows.
vincent (12:58:47 PM):  yeah, I'm on for tomorrow.  super early (for me) again.
shelly (12:58:52 PM):  Yah, thank god. I wouldn't want that to have been preserved. Yikes!
shelly (12:59:06 PM):  Bye all.
vincent (12:59:12 PM):  bye!
ariel (12:59:20 PM):  haha, ok, bye
