macy (18:32:12 PM):  Hello everyone
irene (19:23:35 PM):  hahah
macy (19:23:38 PM):  lol
eva (19:23:41 PM):  personal reasons :-)
irene (19:23:41 PM):  good we have a half hour to argue
macy (19:23:54 PM):  what is your top reason for chicago- sorry if you stated already- iget lost amongst the chats
macy (19:24:02 PM):  :)
eva (19:24:27 PM):  i really do feel like they can handle the initial influx of arrivals well - O'Hare is a big airport and major hub of United
eva (19:24:43 PM):  as for the personal reasons - I've been meaning to visit for various reasons
eva (19:24:48 PM):  they have a lot of attractions for me
eva (19:25:03 PM):  which to me equates to lots of attractions period
macy (19:25:10 PM):  but will other people have the same reasons to visit as you?
lynn (19:25:14 PM):  so eva, attractions in the city would be a good thing fro you, ,and not a distraction from the olympics
irene (19:25:18 PM):  is there an airport near st. louis
irene (19:25:21 PM):  i forgot if we mentioned that
melany (19:25:25 PM):  yes O'hare i believe?
eva (19:25:25 PM):  well...it's costly to get tickets to all events
lynn (19:25:28 PM):  yes lambert
meg (19:25:28 PM):  there's 2 airports in st louis i think
eva (19:25:40 PM):  no one can attend all the events - there's not enough tickets
eva (19:25:46 PM):  so...what else will you do while you wait?
melany (19:25:47 PM):  oh i meant chicago my bad
irene (19:26:02 PM):  oh i thought o'hare was chicago
eva (19:26:11 PM):  O'hare is chicago
irene (19:26:11 PM):  i really know nothing about these places haha
macy (19:26:18 PM):  yes- st. louis international airport exists
irene (19:26:22 PM):  okay
lynn (19:26:25 PM):  that's lambert
meg (19:26:41 PM):  oh its only one in st louis
meg (19:26:43 PM):  woops
eva (19:26:46 PM):  man...chicago would generate a ton of business for United
eva (19:26:50 PM):  so if you hate United
melany (19:26:52 PM):  so st louis has one?
eva (19:26:53 PM):  don't vote for Chicago
melany (19:26:56 PM):  how many does chicago have?
meg (19:26:57 PM):  yeah
eva (19:27:04 PM):  link
lynn (19:27:07 PM):  ohare and midway
eva (19:27:08 PM):  3 according to that link
melany (19:27:10 PM):  oh wow
melany (19:27:14 PM):  so thats a plus for chicago
lynn (19:27:14 PM):  wow
melany (19:27:19 PM):  to handle the heavy travel influ
melany (19:27:19 PM):  x
meg (19:27:44 PM):  yeah but lambert is very large i think
macy (19:27:51 PM):  people could fly into o'hare and travel to st. louis to see a part of the us they never saw before
lynn (19:27:51 PM):  but it's just the us, not the international olympics
lynn (19:27:58 PM):  lambert could handle that easy
meg (19:28:06 PM):  and ohare is notable for its long delays
melany (19:28:06 PM):  thats true
macy (19:28:14 PM):  people would also drive into missouri and not all fly
melany (19:28:15 PM):  being that it is only US is a large factor too
lynn (19:28:47 PM):  st. louis also has amtrak, and even the river if people chose to be adventurous and make a vacay out of it
melany (19:28:56 PM):  thats a good point
eva (19:29:00 PM):  well...my apologies, but I'm still not persuaded towards St. Louis ^_^'
irene (19:29:02 PM):  that's coo,
irene (19:29:02 PM):  *cool
meg (19:29:03 PM):  yeah, amtrakl there is a good thing
lynn (19:29:06 PM):  no problem
eva (19:29:07 PM):  of course, it's majority vote
melany (19:29:21 PM):  chicago is a very attractive travel option
melany (19:29:29 PM):  i just voted for st louis due to economic circumstances
lynn (19:29:30 PM):  it is, i love chicago as a city
meg (19:29:45 PM):  i still vote for st louis!
lynn (19:29:48 PM):  i do too
melany (19:29:53 PM):  me as well
macy (19:30:18 PM):  good eceme too
macy (19:30:26 PM):  oopss- me too
irene (19:30:33 PM):  eceme?
macy (19:30:37 PM):  for economic reasons
macy (19:30:38 PM):  lol
meg (19:30:43 PM):  lol
irene (19:30:45 PM):  oo
macy (19:30:49 PM):  end of week....
macy (19:30:52 PM):  lol
melany (19:31:03 PM):  hahaha sighhhh
macy (19:31:28 PM):  i totally keep chicago on the plate though- : )
macy (19:31:39 PM):  and i've been there twice and absoliutely loved it
macy (19:31:46 PM):  you should go eva
lynn (19:31:49 PM):  it's an awesome place to visit
melany (19:31:49 PM):  what a tough decision
eva (19:32:08 PM):  well, I think the decision is made
eva (19:32:11 PM):  there's only 6 of us
macy (19:32:13 PM):  but i've also heard nice things about st. louis
eva (19:32:17 PM):  and at least 4 have voted
eva (19:32:23 PM):  for the same city
meg (19:32:28 PM):  yeah
melany (19:32:31 PM):  yea
macy (19:32:35 PM):  right- we were supposed to pursuade you though i believe
lynn (19:32:45 PM):  is there any reason in particular you *wouldn't* vote for st. louis, eva?
eva (19:32:56 PM):  i just can't think of anything positive
eva (19:33:02 PM):  that outweighs everything else
eva (19:33:07 PM):  for all the positive things you've stated
eva (19:33:12 PM):  there have been negative ones too
eva (19:33:20 PM):  as for economy...everyone is down right now
lynn (19:33:20 PM):  but that's been true bout chicago, too
eva (19:33:34 PM):  right - I'm just saying that there's nothing that outweighs it enough
eva (19:33:38 PM):  you know, that one straw
lynn (19:33:41 PM):  ok, ,fair enough
macy (19:33:44 PM):  fair
meg (19:33:56 PM):  i guess
melany (19:33:57 PM):  i see i see
eva (19:34:03 PM):  nothing to do with anyone :-)
macy (19:34:05 PM):  i think none of us has the proper information like stats to really know the 2 cities well enough
lynn (19:34:10 PM):  right
melany (19:34:13 PM):  i agree macy
meg (19:34:14 PM):  yeah
lynn (19:34:18 PM):  based on the info we have, i still vote for st. louis
macy (19:34:22 PM):  i'm trying to locate some stuff now since we have time
meg (19:34:23 PM):  me too
lynn (19:34:44 PM):  for me the big factor is that it's a US olympics and not international
lynn (19:35:00 PM):  chicago would be better situated and equipped for international
macy (19:35:11 PM):  valid point
meg (19:35:12 PM):  agreed lynn
irene (19:35:12 PM):  good point
eva (19:35:16 PM):  I feel like...they gave us hard choices on purpose ^_^'
lynn (19:35:21 PM):  yea,, probably so
irene (19:35:23 PM):  but is the us olympics ONLY for us residents
irene (19:35:28 PM):  or just the fact it's in the us
lynn (19:35:50 PM):  "open to all athletes from the US"
melany (19:35:53 PM):  yes
lynn (19:35:54 PM):  is what the blurb says
macy (19:35:59 PM):  i would think to enter them you need to be a citizen?
irene (19:36:08 PM):  not sure
meg (19:36:11 PM):  probably
eva (19:36:18 PM):  hrmm...did anyone do a hotel.com check or anything?
eva (19:36:26 PM):  then again...people spend like no tomorrow for these things
melany (19:36:32 PM):  thats a good point
melany (19:36:34 PM):  they do
meg (19:36:37 PM):  its true!
melany (19:36:43 PM):  its crazy
meg (19:36:46 PM):  although st louis is more affordable than chicago
macy (19:36:46 PM):  link
meg (19:37:14 PM):  good link!
melany (19:37:25 PM):  thanks!
meg (19:37:31 PM):  i like the "home of american brewing" link
meg (19:37:40 PM):  on that site
meg (19:37:42 PM):  hahaha
melany (19:37:46 PM):  haha thats funny
meg (19:37:46 PM):  yay beer!
macy (19:37:58 PM):  lol that will be attractive to many
lynn (19:38:03 PM):  definitely
macy (19:38:12 PM):  It almost seems that St. Louis was pre-destined to become a major beer brewing locale. In the 1800s, a lot of things just seemed to fall into place that would help make St. Louis the epicenter of American beers.
macy (19:38:17 PM):  from the website
meg (19:38:19 PM):  yeah
meg (19:38:22 PM):  mmm beer!
meg (19:38:32 PM):  I love beer hahaha I'd definitely enjoy the visit
melany (19:38:35 PM):  hahaha same
melany (19:38:39 PM):  sounds lovely
melany (19:38:47 PM):  that would be a great attraction for tourists
irene (19:38:49 PM):  haha yeah
lynn (19:38:53 PM):  yes
macy (19:38:53 PM):  link
eva (19:39:03 PM):  hrmmm
meg (19:39:11 PM):  brb
macy (19:39:43 PM):  McCormick Place, Chicago’s premier convention center, offers the largest amount of exhibition space in North America (2.2 million square feet).
macy (19:39:49 PM):  Wow!
melany (19:39:50 PM):  wow!
melany (19:39:53 PM):  thats great!
eva (19:39:56 PM):  hrmm...but would a convention center be applicable?
melany (19:40:01 PM):  i think so
macy (19:40:06 PM):  i guess for gymnastics and such
macy (19:40:15 PM):  but it might be overkill? lol
melany (19:40:22 PM):  could be used for many types of tourist booths
lynn (19:40:29 PM):  vendors
melany (19:40:30 PM):  or dinner events for athletes
lynn (19:40:33 PM):  right
macy (19:40:38 PM):  sure like "VIsit St. Louis. You'll love it!!"
irene (19:41:02 PM):  i bet when they had olympics in the past people visited touristy areads
macy (19:41:03 PM):  i was thinking of it like the I love NY ads
irene (19:41:04 PM):  *areas
melany (19:41:36 PM):  yeah
macy (19:42:11 PM):  link
meg (19:42:43 PM):  Sorry, my neighbor asked me if i had dropped my wallet on the stairs hahaha
eva (19:42:45 PM):  seems like there's lots to do in either city
macy (19:43:00 PM):  i think with the limited things to do in St. Louis compared to Chicago, people might be more "into" wathcing and learnign about the summer olympics and what is going on around them like making friends, etc
lynn (19:43:01 PM):  yup
meg (19:43:03 PM):  I was like who's ringing my bell at 7:45??
meg (19:43:03 PM):  lol
meg (19:43:14 PM):  I agree macy
melany (19:43:23 PM):  i agree with macy as well
macy (19:43:42 PM):  chicago really is a great city- and a great place to hold any event probably and actually does hold events daily
melany (19:43:53 PM):  definetly
melany (19:44:04 PM):  this would be something new for st louise
meg (19:44:04 PM):  the coolest thing in st louis is taking the elevator up the arch
melany (19:44:05 PM):  luis
macy (19:44:06 PM):  but st. louis might not get the chance again with its lack of liveliness?
meg (19:44:18 PM):  you can see the whole city!!
macy (19:44:21 PM):  oh the arch- its main feature
melany (19:44:24 PM):  sounds great
meg (19:44:28 PM):  yeah its awesome
irene (19:44:32 PM):  :)
lynn (19:44:43 PM):  so cool not to see anything beneath you
lynn (19:44:46 PM):  from that far up
melany (19:44:54 PM):  id probably be scared haha
macy (19:44:59 PM):  scary ;) but i would def want to see things from there
meg (19:45:04 PM):  it's a little terrifying because the elevator is old
macy (19:45:12 PM):  like creaking???
meg (19:45:13 PM):  but its checked for safety quite often
meg (19:45:14 PM):  yeah
macy (19:45:17 PM):  yikes
meg (19:45:20 PM):  you can tell its old
melany (19:45:25 PM):  scary
eva (19:45:52 PM):  *observing and learning*
macy (19:46:00 PM):  did we find anything else to convicen us to go with chicago??
macy (19:46:08 PM):  major factors?
macy (19:46:22 PM):  for/ against?
meg (19:46:25 PM):  I think chicago is a good tourist city
irene (19:46:29 PM):  i'm indifferent
macy (19:46:35 PM):  i can keep looking for info
lynn (19:46:41 PM):  i'm looking as well
melany (19:46:43 PM):  me too
meg (19:46:44 PM):  the only thing between the two is the economic boost for st louis i think
eva (19:46:46 PM):  i just honestly can't keep track of the factors anymore
macy (19:46:50 PM):  lol
eva (19:46:51 PM):  we've listed so many
melany (19:46:53 PM):  im a chicago bears fan
eva (19:46:54 PM):  pros and cons
melany (19:46:58 PM):  so that would be a big factor
melany (19:47:02 PM):  jk
melany (19:47:06 PM):  :x
meg (19:47:13 PM):  I love baseball and the cardinals are awesome
meg (19:47:18 PM):  in st louis
meg (19:47:25 PM):  chicago doesn't have a team!
lynn (19:47:33 PM):  white sox!
meg (19:47:36 PM):  oh yeah
lynn (19:47:37 PM):  cubbies!!
meg (19:47:37 PM):  lol
eva (19:47:42 PM):  hrmmm...they could always do what they did for a World Cup
eva (19:47:45 PM):  one city hosts half
meg (19:47:47 PM):  i'm a space cadet today
eva (19:47:49 PM):  the other city hosts half
meg (19:47:54 PM):  i LOVE the cubs
lynn (19:47:55 PM):  that would be awesome! a traveling olympics
meg (19:48:04 PM):  because they alwyays lose
lynn (19:48:06 PM):  hey chicago, what'dya say....
eva (19:48:10 PM):  it happened with melbourned and Stockholm
melany (19:48:10 PM):  hahahhaa
eva (19:48:16 PM):  Stockholm got the horse events
irene (19:48:18 PM):  lol
eva (19:48:21 PM):  Melbourne got the rest
lynn (19:48:34 PM):  they are so close to each other, too, ,chicago and st. louis
melany (19:48:55 PM):  yeah i was thinking that
macy (19:49:09 PM):  i like the traveling idea too
macy (19:49:19 PM):  why not do something different?
macy (19:50:04 PM):  so it's a tie?
eva (19:50:29 PM):  i think we're just happy if it's not Atlanta or LA
irene (19:50:30 PM):  10 minutes woo
melany (19:50:33 PM):  hahahah
eva (19:50:35 PM):  if you want to look at it as glass half full
melany (19:50:52 PM):  wellllll
melany (19:50:56 PM):  we need to come to a consensus
lynn (19:51:10 PM):  shall we vote again?
melany (19:51:25 PM):  yes
lynn (19:51:28 PM):  st. louis for me
melany (19:51:29 PM):  st louis
macy (19:51:40 PM):  st. louis (or the tie idea)
meg (19:51:49 PM):  sorry
meg (19:51:53 PM):  i got kicked off
lynn (19:51:54 PM):  no prob
melany (19:51:58 PM):  no worries
eva (19:52:04 PM):  i guess...tie if it helps with the consensus
eva (19:52:08 PM):  since it's half st louis
macy (19:52:32 PM):  i think we did a good job though reasoning why the others didnt work out as well
melany (19:52:36 PM):  i agree
meg (19:52:38 PM):  yeah
meg (19:52:42 PM):  sorry i got kicked off
lynn (19:52:49 PM):  at least we have consensus on that
macy (19:52:55 PM):  yeah
lynn (19:52:58 PM):  :)
meg (19:53:03 PM):  my computer turned closed the program on me
eva (19:53:16 PM):  oh dear
melany (19:53:19 PM):  no worries my computer sucks
lynn (19:53:25 PM):  what happened to irene?
lynn (19:53:32 PM):  oh sorry, irene
macy (19:53:46 PM):  irene was indifferent last time we voted
meg (19:53:50 PM):  yeah
lynn (19:53:52 PM):  ok
macy (19:53:52 PM):  any updates for us?
meg (19:54:08 PM):  i'm still for st louis
meg (19:54:10 PM):  lol
irene (19:54:11 PM):  i'm still indifferent haha
macy (19:54:15 PM):  lol
lynn (19:54:28 PM):  i was just thinking of the summer sports, ,and if that would matter at all
lynn (19:54:38 PM):  link
lynn (19:54:45 PM):  doesn't seem to
eva (19:54:50 PM):  i wonder about water sports
melany (19:54:53 PM):  so how many st louis?
lynn (19:55:02 PM):  one
meg (19:55:14 PM):  me!
macy (19:55:18 PM):  me
melany (19:55:21 PM):  me too!
macy (19:55:31 PM):  4 and 1 indifferent and 1 chicago
meg (19:55:39 PM):  yeah
melany (19:55:48 PM):  st louis wins then?
meg (19:55:53 PM):  yeah
meg (19:55:55 PM):  wooooo
macy (19:56:08 PM):  too bad its all fiction and we are not an actual committee
macy (19:56:20 PM):  we'd have to have meetings for months to decide
macy (19:56:24 PM):  lol
lynn (19:56:27 PM):  yea
melany (19:56:28 PM):  hahha yea too bad
irene (19:56:29 PM):  true
meg (19:56:38 PM):  yeah
lynn (19:56:39 PM):  is there a scheduled discussion leader for this session?
eva (19:56:39 PM):  it does take years, doesn't it?
macy (19:56:50 PM):  but look what we did in just 1.5 hr hahaha
lynn (19:56:52 PM):  sorry, ,can't remember who it was...
moderator2 (19:57:00 PM):  Hi all, as we near the end, I wanted to remind everyone to fill out the survey at the end. link
meg (19:57:03 PM):  it does take a long time
meg (19:57:14 PM):  thanks 
macy (19:57:15 PM):  thanks- think we are all set g'night all!
eva (19:57:32 PM):  night!
irene (19:57:38 PM):  are we allowed to leave?
lynn (19:57:48 PM):  seems so
moderator2 (19:57:49 PM):  Yes, you may leave now if you want to.
irene (19:57:51 PM):  thanks
eva (19:57:52 PM):  thank you!
melany (19:57:54 PM):  thanks!
moderator2 (19:57:56 PM):  Please fill out the survey though.
irene (19:57:57 PM):  ok
lynn (19:57:59 PM):  thank you
