meg (8:13:24 PM):  Hi george
john (9:15:11 PM):  yes
jordan (9:15:13 PM):  ohhhhhh, am I alone??
meg (9:15:25 PM):  meg and michelle against
nick (9:15:32 PM):  no
michael (9:15:34 PM):  yes
amy (9:15:39 PM):  no
john (9:15:42 PM):  thank you nick
michael (9:15:47 PM):  Although I'm voting yes for Jeremy too, ha.
amy (9:15:56 PM):  lol
jordan (9:16:06 PM):  We need some kind of machine to count the votes..
george (9:16:07 PM):  gg, brain
meg (9:16:18 PM):  I'm trying
meg (9:16:34 PM):  3 for Natalie
jordan (9:16:34 PM):  we are 9. what chaos if we were 9000!
george (9:16:39 PM):  hey, i voted brian no too
meg (9:16:40 PM):  And 4 against
john (9:16:53 PM):  great meg
jordan (9:17:00 PM):  seems this will go on forever.................
meg (9:17:04 PM):  Brian's off the island
michelle (9:17:05 PM):  who did not vote?
meg (9:17:07 PM):  no worries
meg (9:17:19 PM):  george
john (9:17:21 PM):  y..e..s
amy (9:17:22 PM):  yeah this voting is nuts tonight
meg (9:17:25 PM):  Umm... mara
michelle (9:17:36 PM):  4 to 4 for natalie..
amy (9:17:36 PM):  so much smoother other time
jordan (9:17:43 PM):  :O
meg (9:17:51 PM):  Hanggg on please
jordan (9:17:52 PM):  :=O
meg (9:17:55 PM):  I can't count that fast
meg (9:17:56 PM):  lol
amy (9:18:07 PM):  give the lady some space
meg (9:18:08 PM):  Would everyone just say yes or no so I can count?
john (9:18:11 PM):  agree amy
john (9:18:24 PM):  hahha
michael (9:18:32 PM):  yes
meg (9:18:38 PM):  no
michelle (9:18:38 PM):  no
john (9:18:41 PM):  yes
amy (9:18:41 PM):  NO
jordan (9:18:55 PM):  I say NO to Brian
meg (9:19:04 PM):  4/2
meg (9:19:07 PM):  Who else
amy (9:19:08 PM):  jordan- bad jordan
meg (9:19:09 PM):  mara?
meg (9:19:11 PM):  george?
meg (9:19:13 PM):  nick?
nick (9:19:18 PM):  no
amy (9:19:18 PM):  george, nick
jordan (9:19:38 PM):  ?
amy (9:19:47 PM):  <getting sleepy from natalie>
meg (9:19:57 PM):  6/2
meg (9:20:02 PM):  Woops
meg (9:20:04 PM):  5/2
michelle (9:20:04 PM):  4 to 4
meg (9:20:07 PM):  I can't count
nick (9:20:22 PM):  I VOTED!!!! don't you see my vote?
meg (9:20:22 PM):  Where's the 4/4?
meg (9:20:32 PM):  I got it nick
meg (9:20:53 PM):  michael (9:30:04 PM) yes  meg (9:30:07 PM) no  michelle (9:30:10 PM) no  john (9:30:15 PM) yes  amy (9:30:20 PM) NO  jordan (9:30:26 PM) I say NO to Brian nick (9:30:52 PM) no
michael (9:20:57 PM):  george was:
george (9:20:59 PM):  braaaiinnnsss.....*zombie walk*
jordan (9:21:01 PM):  slowly please.
michael (9:21:01 PM):  george (9:25:08 PM) yes, me too, natalie yes
michelle (9:21:19 PM):  nick, michelle, amy, no?
meg (9:21:28 PM):  And me
michael (9:21:30 PM):  As far as I can tell from the history, heh.
amy (9:21:36 PM):  lets move on to Jeremy!
amy (9:21:41 PM):  go for it meg!
george (9:21:44 PM):  i'd say yes to natalie
jordan (9:21:46 PM):  history????
nick (9:21:52 PM):  yes = michael, john   no = meg, nick, michelle, amy
meg (9:21:57 PM):  michael, john, george yes
michelle (9:21:57 PM):  what is the final count for natalie?
michelle (9:22:01 PM):  3/6?
meg (9:22:15 PM):  Yes I think so
meg (9:22:19 PM):  No
meg (9:22:20 PM):  5/3
michelle (9:22:20 PM):  4/5?
john (9:22:26 PM):  yes
jordan (9:22:27 PM):  3 no, 6 yes
meg (9:22:33 PM):  4 for, 5 against
michelle (9:22:38 PM):  but we have 9
meg (9:22:52 PM):  All my convo just disappeared
michelle (9:22:59 PM):  so natalie is out?
meg (9:23:01 PM):  Moving on
meg (9:23:08 PM):  Jeremy
meg (9:23:09 PM):  ?
meg (9:23:11 PM):  Yes
jordan (9:23:12 PM):  out?
michelle (9:23:12 PM):  jeremy?
michelle (9:23:21 PM):  yes to jeremy
michael (9:23:24 PM):  yes
john (9:23:24 PM):  ?
nick (9:23:27 PM):  Natalie is out - next?
jordan (9:23:27 PM):  My dear Natalie is out????
george (9:23:35 PM):  yes, lag here too
nick (9:23:37 PM):  jeremy yes
amy (9:23:43 PM):  Jeremy, Yes
meg (9:23:46 PM):  Anyone else there?
jordan (9:23:47 PM):  I say NO to Jeremy.
meg (9:23:50 PM):  I'm not seeing anything
jordan (9:23:54 PM):  No
amy (9:24:05 PM):  we are voting on jeremy now- so only votes for jeremy- yes or no
meg (9:24:06 PM):  I'm going to try relogging
jordan (9:24:25 PM):  Next is Jeremy
jordan (9:24:35 PM):  I say no to Jeremy.
john (9:24:36 PM):  hahah dear
john (9:24:45 PM):  my brain.....
amy (9:24:55 PM):  meg, amy, michelle, nick   YES to jeremy
jordan (9:24:56 PM):  No
nick (9:25:01 PM):  yes = nick, meg, michelle, michael, amy  no = jordan
michael (9:25:04 PM):  Yes: michael, meg, michelle, nick, amy. No: jordan.
george (9:25:05 PM):  natalie yes
michelle (9:25:06 PM):  yes to jeremy
john (9:25:20 PM):  no
meg (9:25:40 PM):  I'm back
amy (9:25:49 PM):  my goodness   i agree john
nick (9:25:55 PM):  yikes - serious screen issues
meg (9:25:59 PM):  What?
meg (9:26:04 PM):  What'd I miss!
michael (9:26:12 PM):  Yes: michael, meg, michelle, nick, amy, george. No: jordan, john.
john (9:26:19 PM):  no
amy (9:26:43 PM):  i have had no issues tonight at all
meg (9:26:45 PM):  6/2... that's a yes to Jeremy then right?
amy (9:26:51 PM):  screen issues that is   hehehhe
nick (9:26:51 PM):  Yes: michael, meg, michelle, nick, amy. george No: jordan, john  9/2
michael (9:26:53 PM):  Screen always seems to get jumpy like this when the conversation gets long.
michael (9:27:22 PM):  6/2, you mean?
meg (9:27:23 PM):  I'm using internet explorer
nick (9:27:23 PM):  UGH 6/2 Yes: michael, meg, michelle, nick, amy. george No: jordan, john 6/2
meg (9:27:28 PM):  Is that better?
amy (9:27:29 PM):  mine has  been fine- luckily\
meg (9:27:35 PM):  Or firefox
meg (9:27:44 PM):  lol
meg (9:27:46 PM):  ?
michael (9:27:50 PM):  Jeremy wins, it looks.
meg (9:27:59 PM):  Yay for Jeremy!
meg (9:28:07 PM):  He gets a job during the recession!
michael (9:28:08 PM):  Long live Jeremy!
meg (9:28:10 PM):  Woooo
amy (9:28:13 PM):  ding-ding  we have a winner!
george (9:28:16 PM):  haha town meeting to decide who assists the seniors
amy (9:28:20 PM):  Finally!!
nick (9:28:21 PM):  hurray
amy (9:28:24 PM):  ; )
jordan (9:28:25 PM):  So have we decided on Jeremy?
meg (9:28:32 PM):  :-P
meg (9:28:46 PM):  And... it's a man!
meg (9:28:50 PM):  lol
meg (9:28:53 PM):  Yeah
amy (9:28:56 PM):  Nice!
john (9:29:03 PM):  anyway congratulation
michelle (9:29:26 PM):  finally,
amy (9:29:29 PM):  20 mins to spare!
amy (9:29:40 PM):  i thought it'd never be over
michelle (9:29:44 PM):  reconsider between jeremy and brian?
nick (9:29:45 PM):  whoo!
amy (9:29:47 PM):  the voting
meg (9:29:54 PM):  Nahhh
george (9:30:00 PM):  yes to natalie and jeremy
meg (9:30:01 PM):  Jeremy wins
nick (9:30:01 PM):  NO
amy (9:30:02 PM):  nah
michelle (9:30:17 PM):  final decision made for jeremy?
meg (9:30:21 PM):  Yep
meg (9:30:27 PM):  Jeremy is the final answer
jordan (9:30:31 PM):  we can choose only ONE
amy (9:30:36 PM):  so lets continue last nights talk then........
meg (9:30:48 PM):  What was it about?
john (9:30:57 PM):  brain and natalie
amy (9:30:59 PM):  social networking, virtual lives, etc
john (9:31:09 PM):  yes
meg (9:31:11 PM):  Ohhh ok
meg (9:31:16 PM):  Facebook!
meg (9:31:18 PM):  Lol
meg (9:31:23 PM):  I'm on facebook right now...
meg (9:31:27 PM):  :-P
amy (9:31:28 PM):  are you people this difficult to decide on things in real life or just virtual life???   LOL  LOL
john (9:31:43 PM):  of
jordan (9:31:56 PM):  well, if you all chose Jeremy, I go with you.
john (9:31:59 PM):  ok it is interesting
michael (9:32:05 PM):  "Virtual Environment - How the internet has become a portal to a different form of existence."
nick (9:32:08 PM):  I am so glad we are not serving on a jury....
michelle (9:32:10 PM):  what about natalie, jordan?
amy (9:32:18 PM):  hahahaha
george (9:32:31 PM):  i'll try relogging again
michelle (9:32:32 PM):  jordan, wanna talk the book you mentioned last night?
amy (9:32:32 PM):  michelle, it's over  .  can you accept that?   ; )
jordan (9:32:41 PM):  I still want Natalie, if you all agree.
michelle (9:32:51 PM):  yes, jeremy, ...:-)
george (9:33:15 PM):  so yes to jeremy and natalie for me!
jordan (9:33:21 PM):  book> what book michelle?
george (9:33:25 PM):  minus the lag this time hopefully
john (9:33:26 PM):  i have accepted
meg (9:33:30 PM):  W
meg (9:33:35 PM):  What's the book?
amy (9:33:38 PM):  what book is that?
nick (9:33:51 PM):  so what book, jordan?
meg (9:34:15 PM):  ??
michelle (9:34:27 PM):  what happedned? why is it so slow now? are u typing?
meg (9:34:28 PM):  Everyone still there?
jordan (9:34:28 PM):  so? who do we finally choose?
michelle (9:34:55 PM):  1984 by george orwen? correct me if I am wong
nick (9:34:56 PM):  george, the voting is all over :(
michael (9:35:20 PM):  Still here.
michelle (9:35:26 PM):  jordan mentioned abook at about 10pm last night...
john (9:35:29 PM):  hahha book
jordan (9:35:29 PM):  Yes, my question is what book are u talking about?
amy (9:35:32 PM):  i'm here
meg (9:35:48 PM):  HI again!
meg (9:35:51 PM):  I'm back
michelle (9:35:56 PM):  jeremy is our pick, jordan
michael (9:36:04 PM):  jordan: Jeremy won.
amy (9:36:10 PM):  i dont remmeber a book being mentioned unless i logged out earlier than you guys
nick (9:36:14 PM):  the chat room user list seems to be flashing on and off
jordan (9:36:19 PM):  strange, something is happening
meg (9:36:26 PM):  Not for me
amy (9:36:34 PM):  it flashes when peeople log out or log in i believe
jordan (9:36:37 PM):  Oh, I see. I'm forgetful.
michael (9:37:02 PM):  1984, that's where the term Orwellian comes from, isn't it?
meg (9:37:04 PM):  So virtual reality
jordan (9:37:04 PM):  1984 by George Orwell is about totalitarianism
george (9:37:05 PM):  :o
amy (9:37:08 PM):  ohhhhh i forgot too
meg (9:37:13 PM):  Yeah probably
amy (9:37:21 PM):  what is the storyline?
george (9:37:38 PM):  hihi
meg (9:37:44 PM):  I haven't read it
jordan (9:37:45 PM):  people don't need names, numbers is enough
amy (9:37:46 PM):  hi george
meg (9:37:54 PM):  hi george
john (9:37:55 PM):  me too
meg (9:37:57 PM):  :)
jordan (9:37:57 PM):  yes flashing
jordan (9:38:13 PM):  yes, michael
meg (9:38:16 PM):  Sounds like Brave New World
meg (9:38:24 PM):  by Aldous Huxley
john (9:38:24 PM):  ok
michelle (9:38:25 PM):  me either
amy (9:38:27 PM):  like bc there are so many people, names are not important anymore??
nick (9:39:09 PM):  They are both great books!
jordan (9:39:11 PM):  people living in a totalitarian world, forfeiting everything individual,,,, you know
nick (9:39:25 PM):  Classics
jordan (9:39:27 PM):  there are cameras even in your vbedroom
amy (9:39:32 PM):  oh
meg (9:39:38 PM):  1984 is on my reading list for the summer
jordan (9:39:50 PM):  yes, right. Brave New world is similar.
amy (9:39:54 PM):  maybe i'll add it to my list also
michael (9:40:05 PM):  There was a bad scenario in one of my user interface textbooks this semester titled "Panopticon"...a term that apparently means everything you do can be seen.
nick (9:40:18 PM):  They are depressing though :)
george (9:40:22 PM):  looks like about 2 min 30 sec lag
meg (9:40:24 PM):  Yeah, it comes from Jeremy Betham
meg (9:40:27 PM):  *Bentham
amy (9:40:33 PM):  what is depressing?
jordan (9:40:36 PM):  bpanopticon. the exact word
john (9:40:56 PM):  hehe good idea amy
meg (9:40:59 PM):  He's a philosopher
nick (9:41:09 PM):  amy - 1984 and Brave New World are both dark books, just FYI
meg (9:41:11 PM):  Foucault used it for Discipline and Punishment
meg (9:41:21 PM):  But excellent
jordan (9:41:23 PM):  what is depressing is thaT PEOPLE HAVE LOST THEIR INDIVIDUALITY , THEIR PERSONALITY, EVERTHING , JUST FOR THE SAKE STABILITY
meg (9:41:25 PM):  I love the ending of BNW
amy (9:41:28 PM):  well, i enjoy dark movies (not violent, but dark)
amy (9:41:35 PM):  so maybe these will be interesting
jordan (9:41:37 PM):  sorry for capitalizing
michael (9:41:41 PM):  You do lose a lot of control over who sees the things you post online.
jordan (9:42:02 PM):  1984 has been adapted to movies two times.
john (9:42:06 PM):  dark book?
nick (9:42:08 PM):  meg - I loved Discipline and Punishment  and the Panopticon stuff!
jordan (9:42:11 PM):  I prwefer the first.
amy (9:42:12 PM):  did the movies adapt well?
meg (9:42:16 PM):  In BNW there's a separation between european populations and native american populations
michael (9:42:19 PM):  There was a 1984 related Apple commercial too, wasn't there?
amy (9:42:20 PM):  i would rather read them i think
meg (9:42:27 PM):  I love Foucault
meg (9:42:30 PM):  lol
jordan (9:42:42 PM):  the first is good, the second seems a bit exagerated.
meg (9:43:03 PM):  I read archaeology of knowledge too for one of my classes
george (9:43:03 PM):  "you've got to be joking, mr feynman" is a great book
jordan (9:43:06 PM):  people who can understand foucould must be a genius
meg (9:43:08 PM):  It's HARD
george (9:43:14 PM):  er...surely you're joking
meg (9:43:20 PM):  lol
nick (9:43:32 PM):  Foucault was into SandM, which explains a lot about him :)
meg (9:43:40 PM):  HAHAHA
meg (9:43:43 PM):  Totally
jordan (9:43:49 PM):  SandM?
meg (9:43:56 PM):  History of Sexuality is on my reading list too
michelle (9:43:59 PM):  ?
nick (9:44:10 PM):  oh boy
meg (9:44:12 PM):  He's a 19th century philosopher
meg (9:44:13 PM):  hahaha
amy (9:44:17 PM):  meg - ever read Herland?
jordan (9:44:17 PM):  Can you tell me the author of this book
meg (9:44:19 PM):  Good luck explaining that one nick
john (9:44:33 PM):  haha
meg (9:44:37 PM):  no, author or title?
nick (9:44:52 PM):  oh look, we're out of time!
amy (9:44:53 PM):  oh, title
jordan (9:44:59 PM):  author of HandS???
michael (9:44:59 PM):  I remember reading something by Feynman about the reliability of the shuttle, seemed a real "tell it like it is" kind of person.
amy (9:45:06 PM):  author  charlotte perkins gilman
meg (9:45:13 PM):  Foucault wrote Discipline and Punishment, Archaeology of knowledge and History of knowledge...
jordan (9:45:14 PM):  we still have a lot to taLK ABOUT.
meg (9:45:26 PM):  History of sexuality
jordan (9:45:27 PM):  I see.
meg (9:45:33 PM):  lol
meg (9:45:38 PM):  lol
jordan (9:45:42 PM):  Foulcault is difficulty
meg (9:45:51 PM):  amy- what's it about?
michelle (9:45:52 PM):  more to read in the summer
amy (9:46:05 PM):  about a land of ALL women
amy (9:46:10 PM):  that some men stubmle upon
amy (9:46:13 PM):  stumble
john (9:46:19 PM):  so many books
meg (9:46:21 PM):  Ohh
meg (9:46:24 PM):  sounds interesting
jordan (9:46:31 PM):  Is this Gilman the person whos wrote the Yellow Spot on the Wall, or sth like that?
amy (9:46:32 PM):  feminist utopian novel
meg (9:46:38 PM):  I'm reading the unbearable lightness of being
meg (9:46:44 PM):  it's REALLY good
george (9:46:44 PM):  ok guys good night, i think this will get to you by the time you log off :o
michael (9:46:46 PM):  How did they reproduce? Oo
amy (9:46:54 PM):  not sure jordan
amy (9:46:57 PM):  what that one about?
jordan (9:46:58 PM):  seen that novie?
jordan (9:47:02 PM):  movie
meg (9:47:05 PM):  Bye george
michael (9:47:18 PM):  I think there have been matriarchal societies in the past too, though.
nick (9:47:28 PM):  The Yellow Wallpaper?
michael (9:47:29 PM):  Although men were still there, just not in control.
meg (9:47:30 PM):  I gotta go now too
meg (9:47:35 PM):  Have a good night all:D
jordan (9:47:40 PM):  Gilman sees to me a stream of conscious writer.
amy (9:47:51 PM):  i actually dont remember how they reproduced-  i read it a long time ago but its still on my shelf
michael (9:47:56 PM):  george: good night
michelle (9:48:04 PM):  which movie?
jordan (9:48:15 PM):  a woman lying in bed watching hr ceiling, and thinking a lot.
michelle (9:48:16 PM):  no
nick (9:48:19 PM):  OK good night all
jordan (9:48:31 PM):  88
amy (9:48:33 PM):  NIght!
john (9:48:39 PM):  good night all
amy (9:48:43 PM):  i'll write down the Tellow Spot and trey and find it
jordan (9:48:44 PM):  goonnight ye all
michael (9:48:53 PM):  'night
michelle (9:49:01 PM):  jordan, nice conversation, bye
amy (9:49:14 PM):  it is that time!  See you guys tomorrow if you are here for the last session
michelle (9:49:17 PM):  byebye,everyone
jordan (9:49:23 PM):  good night , good night goodnight! says Ophelia
