meg (19:56:24 PM):  Hello:)
meg (21:14:53 PM):  My bf hates them and I got him one for vday
melany (21:14:53 PM):  i think it depends on who recieves them
rita (21:14:55 PM):  We had a ton of snow this afternoon/evening
meg (21:14:55 PM):  hahaha
melany (21:15:01 PM):  haha thats funny
lynn (21:15:02 PM):  uh-oh
rita (21:15:12 PM):  I love potato pancakes and crepes!
melany (21:15:33 PM):  how much do the musical cards cost?
rita (21:15:36 PM):  In my family, growing up. we always made valentine's day card ... never bought them
caroline (21:15:45 PM):  like 5-7 dollars
lynn (21:15:49 PM):  we did too!
caroline (21:15:51 PM):  that's so cute
rita (21:16:00 PM):  This year my four year old and I made all the cards for his pre-school class
alyssa (21:16:13 PM):  they have one for 3 bucks at walmart
meg (21:16:22 PM):  aw thats awesome1
lynn (21:16:24 PM):  what do you guys think of e-cards?
rita (21:16:29 PM):  It was hard not to buy them since I am a busy mom and V-day card packs for kids are like 2.99
meg (21:16:33 PM):  ugh they're annoying
caroline (21:17:19 PM):  i would rather get a real card, but i think e-cards are perfect for some occasions
meg (21:17:23 PM):  I used to love those little cards
lynn (21:17:35 PM):  "will you be my valentine?"
rita (21:17:43 PM):  E-cards are fun for b-days ... but in general I only like them for B-days or if they have photos of people you know in them
melany (21:17:59 PM):  haha i used to love the little cards too
lynn (21:17:59 PM):  i like the animated e-cards
lynn (21:18:20 PM):  and the little candy hearts, right?
rita (21:18:21 PM):  My son is totally into Transformers ... so we just used stickers on cards we made
ted (21:18:22 PM):  those e-cards used to be cool
meg (21:18:27 PM):  aww
ted (21:18:28 PM):  seem old fashion now
meg (21:18:35 PM):  I like the jib jab ones
lynn (21:18:43 PM):  what are the jib jab ones?
caroline (21:18:46 PM):  love the jib jab ones!
alyssa (21:18:51 PM):  who else makes cards besides hallmark
rita (21:18:52 PM):  they are funny
melany (21:18:53 PM):  ahha the jib jab ones are funny
meg (21:18:59 PM):  that you put peoples faces in like dancing elves for christmas
alyssa (21:18:59 PM):  cause when u go to walmart
alyssa (21:19:05 PM):  all u see is hallmark i think
lynn (21:19:06 PM):  oh, got it
ted (21:19:20 PM):  american greetings is another company
meg (21:19:35 PM):  yeah, and carlton cards
meg (21:19:50 PM):  and papyrus
melany (21:20:01 PM):  yeah ive gotten carlton cards before
meg (21:20:01 PM):  i used to work at a bookstore and we had a card lady come
meg (21:20:08 PM):  i had to receive all the cards from her
rita (21:20:18 PM):  Christmas cards get out of hand ... with two kids everyone wants a photo card from us ... and I had to send 80 this year ... 80!!!
ted (21:20:31 PM):  if you google greeting cards you get like 23 million entries
ted (21:20:39 PM):  a lot to choose from
melany (21:20:59 PM):  thats interesting
caroline (21:21:08 PM):  wow that's a lot
alyssa (21:21:47 PM):  that is a lot
alyssa (21:21:48 PM):  too many
melany (21:21:55 PM):  yeah i would not be able to decide
alyssa (21:22:22 PM):  so this might be kinda dumb but wats everyones favorite card
meg (21:22:27 PM):  i can't believe you sent 80 rita
alyssa (21:22:29 PM):  theyve ever gpt
lynn (21:22:47 PM):  the ones i get on random days, just for no reason, to cheer me up
lynn (21:22:53 PM):  my sister sends those
meg (21:22:53 PM):  my favorite card is this one my roomie gave me last year for vday
meg (21:23:00 PM):  it was an office card
caroline (21:23:13 PM):  i agree w/ the random ones
melany (21:23:14 PM):  i dont think i can decide on a favorite card
rita (21:23:14 PM):  As life goes by you just accumulate so many acquaintances
meg (21:23:23 PM):  "I want you to be scared of how much you love me"
meg (21:23:24 PM):  hahah
ted (21:23:27 PM):  it was an "I miss you card"
caroline (21:23:28 PM):  the "just because" ones
melany (21:23:32 PM):  i love cards with the beach on them
melany (21:24:48 PM):  'so tonight's discussion has led us to believe that christmas in july should no longer be a hallmark holiday, correct?
rita (21:24:48 PM):  When I lived in Maryland there was a drug store across the street from my work that had this machine you could use a connect computer to personal a greeting card and then the machine would draw it for you with magic markers on the card stock.
rita (21:24:59 PM):  It was hysterical and we used it all the time
meg (21:25:00 PM):  correct melany
melany (21:25:02 PM):  oh yes we have those in NY too
lynn (21:25:09 PM):  yes,, melany
meg (21:25:16 PM):  omg, that is really cute rita
meg (21:25:22 PM):  I would totally do that
caroline (21:25:26 PM):  that sounds so cool!
rita (21:25:54 PM):  You could name the characters on the templates they had and choose hair colors and stuff ... it was really fun
meg (21:25:59 PM):  aww
meg (21:26:05 PM):  that sounds fun haha
rita (21:26:14 PM):  I still have the card my co-workers made when I left that job
meg (21:26:25 PM):  aww
ted (21:26:26 PM):  those cards are cool.
meg (21:26:28 PM):  thats cute
lynn (21:26:36 PM):  yea, ,those group cards are fun
rita (21:27:06 PM):  I've been making cards in MS Publisher
meg (21:27:11 PM):  thats fun
melany (21:27:26 PM):  i used to use ms publisher
lynn (21:27:29 PM):  wish i could do that
rita (21:27:39 PM):  I made the Baptism invitations for my daughter's Baptism on Publisher and printed them on card stock at Staples to save money
meg (21:27:45 PM):  I like making them from scratch
melany (21:27:47 PM):  great idea
rita (21:27:53 PM):  They were cute and had her picture on them
caroline (21:27:55 PM):  definitely
moderator (21:28:03 PM):  Hi all, as we near the end of discussion, I'd like to remind everyone that there's a survey to be filled out before you leave.
ted (21:28:04 PM):  i should learn photoshop, or flash. to make my own vivid designs
moderator (21:28:05 PM):  link
melany (21:28:38 PM):  Ok, thank you moderator.
lynn (21:28:42 PM):  thanks for an entertaining chat, everybody. glad we came to a consensus
melany (21:28:56 PM):  have a good night!
meg (21:29:01 PM):  you too! good night!
rita (21:29:03 PM):  What was the decision about the non -observance?
meg (21:29:11 PM):  christmas in july
lynn (21:29:16 PM):  christmas in july
rita (21:29:21 PM):  Cool - sounds good to me
caroline (21:29:28 PM):  the people don't seem to be matching up on the survey
caroline (21:29:35 PM):  anyone else having this problem?
melany (21:29:50 PM):  i am!
melany (21:30:00 PM):  i have different people
meg (21:30:06 PM):  me neither
meg (21:30:13 PM):  some of them
moderator (21:30:23 PM):  whoopsie
moderator (21:30:28 PM):  wrong link
moderator (21:30:33 PM):  link
ted (21:30:43 PM):  i think we have the right link
melany (21:30:47 PM):  thanks!
ted (21:31:00 PM):  some people are right and some are unknown to me
meg (21:31:22 PM):  the second link is right
ted (21:31:24 PM):  maybe due to nick names?
moderator (21:31:46 PM):  Hi all, the second link I sent should be the correct one
ted (21:31:56 PM):  ok
moderator (21:31:57 PM):  link
rita (21:37:56 PM):  Sorry I was late ... Look like I missed a good conversation. Bye
